Name,Position,University,Place,Code
Gonzalo Matias Rios Erazo,Académico,UNIVERSIDAD DE CHILE,"Santiago, Chile",11454
Lorena Edith Coronado Vigueras,Instructora,"FACULTAD DE ODONTOLOGÍA, UNIVERSIDAD DE CHILE","Santiago, Chile",11455
Simone Faleiros Chioca,Profesora Asistente,UNIVERSIDAD DE CHILE,"Santiago, Chile",11456
Valentina Eliana Fajreldin Chuaqui,,"UNIVERSIDAD DE CHILE, FACULTAD DE ODONTOLOGÍA","Santiago, Chile",11457
Helen Grace Diaz Paez,,UNIVERSIDAD DE CONCEPCION,"Los Angeles, Chile",11458
Víctor Victor García De Cortázar García De Cortázar,,"DEPT. INGENIERÍA Y SUELOS, UNIVERSIDAD DE CHILE","santiago, Chile",11459
Rafael Eduardo Coopman Ruiz-tagle,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11460
Rafael Sagredo Baeza,Investigador,Biblioteca Nacional,"SANTIAGO, Chile",11461
Pablo Ignacio Artaza Barrios,,FACULTAD DE FILOSOFÍA Y HUMANIDADES DE LA UNIVERSIDAD DE CHILE,"Santiago, Chile",11462
Alfredo Federico Serpell Bley,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11463
Ximena Verónica Ferrada Calvo,Docente Investigador,Universidad del Desarrollo,"Santiago, Chile",11464
José Francisco Muñoz Pardo,,ESCUELA DE INGENIERÍA UC,"Santiago, Chile",11465
Claudio Antonio Meneses Araya,Profesor Asociado,Pontificia Universidad Católica de Chile,"Santiago, Chile",11466
Violeta Ilieva Pankova,,UNIVERSIDAD DE ARTES Y CIENCIAS SOCIALES ARCIS,"Santiago, Chile",11467
Héctor Mauricio Cataldo González,,UNIVERSIDAD ARCIS,"Santiago, Chile",11468
Claudio Arturo Contreras Reyes,,UNIVERSIDAD ARCIS,"SANTIAGO, Chile",11469
Carol Marcela Torres Fernández,,UNIVERSIDAD ARCIS,"santiago, Chile",11470
José Arturo Molina Bravo,,UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES,"Santiago, Chile",11471
Daniela Alejandra Besser Jelves,,CENTRO DE INVESTIGACIÓN EN TECNOLOGÍAS DE LA CONSTRUCCIÓN UNIVERSIDAD DEL BÍO BÍO (CITEC UBB),"Concepción, Chile",11472
Rodrigo Alejandro Espinoza Maldonado,Ingeniero de Proyecto,UNIVERSIDAD DEL B IO BIO,"Concepcion, Chile",11473
Reinaldo Ascencio Sanchez Arriagada,Profesor Asociado/Director Departamento,UNIVERSIDAD DEL BIO-BIO,"Concepción, Chile",11474
Anita Soledad Gálvez Arévalo,,UNIVERSIDAD SAN SEBASTIAN,"Santiago, Chile",11475
Vicente Serrano Marín,,INSTITUTO DE FILOSOFÌA. FACULTAD DE FILOSOFÌA. UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11476
Andrea Ximena Silva Báez,,"UNIVERSIDAD AUSTRAL DE CHILE, INSTITUTO DE CIENCIAS AMBIENTALES Y EVOLUTIVAS","Valdivia, Chile",11477
Claudia Zúñiga Rivas,Académica,Universidad de Chile,"Santiago, Chile",11478
Julio Cesar Rodríguez,,UNIVERSIDAD DE VALPARAISO,"Valparaiso, Chile",11479
Daniel Elias Escaff Dixon,Associate Professor,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11480
Gustavo Adolfo Anríquez Nilson,Assitant Proffesor,"DEPTO. DE ECONOMÍA AGRARIA, PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE","Santiago, Chile",11481
Claudia Giovanna Castillo Rubio,,UNIVERSIDAD CATÓLICA DE TEMUCO,"TEMUCO, Chile",11482
Alex Mauricio Seguel Fuentealba,Investigador Asociado ,Universidad de La Frontera,"Temuco, Chile",11483
Lucy Mirtha Ketterer Romero,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11484
Marcelo Leonardo Carrasco Henriquez,,UNIVERSIDAD DE LA FRONTERA,"temuco, Chile",11485
Abel Isidoro Soto Higueras,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11486
ANA ISABEL TRAGOLAF ANCALAF,Coordinadora,"OBSERVATORIO DE EQUIDAD EN SALUD, SEGÚN GÉNERO Y PUEBLO MAPUCHE, UFRO","Temuco, Chile",11487
Andrea Belén Zepeda Pérez,Docente/Investigador,Universidad Autónoma de Chile,"Temuco, Chile",11488
Marcos Cikutovic Salas,,UNIVERSIDAD DE ANTOFAGASTA,"Antofagasta, Chile",11489
Eduardo Nicolas Fuentes Jofre,Founder and CEO,BioPub,"santiago, Chile",11490
Dorota Agnieszka Dec Bielen,Profesor Auxiliar,Universidad Austral de Chile,"Valdivia, Chile",11491
Oscar Alfredo Thiers Espinoza,Académico e Investigador,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11492
Vilma Quitral Robles,Asesoría,Granotec,"Santiago, Chile",11493
Lucia Lucia Dammert Guardia,Profesor Titular,Universidad de Santiago,"santiago, Chile",11494
María Herminia Ochsenius Alarcón,,PARTICULAR,"Santiago, Chile",11496
Rodrigo Andrés Vera Manríquez,Profesor asistente,FACULTAD DE ARQUITECTURA Y URBANISMO-DEPARTAMENTO DE DISEÑO-UNIVERSIDAD DE CHILE,"Santiago, Chile",11497
Ronald Ernesto Harris Diez,,UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11498
Gonzalo Ernesto Leiva Quijada,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11499
Liisa Flora Voionmaa Tanner,,UNIVERSIDAD ADOLFO IBÁÑEZ,"Santiago, Chile",11500
NELSON ORLANDO MORAGA BENAVIDES,TITULAR PROFESSOR,UNIVERSIDAD DE LA SERENA,"LA SERENA, Chile",11502
Fabiola Del Carmen Cabrera Valencia,,INSTITUTO DE SISTEMAS COMPLEJOS DE VALPARAÍSO,"Valparaíso, Chile",11503
Patricia Andrea Roessler Vergara,,FACULTAD DE MEDICINA UNIVERSIDAD DEL DESARROLLO,"Santiago, Chile",11504
Francisco Javier Cañas Urrutia,,UNIVERSIDAD ANDRÉS BELLO,"Viña del Mar, Chile",11506
Eugenio Pedro Giolito,,UNIVERSIDAD ALBERTO HURTADO,"Santiago, Chile",11507
Sébastien Monnier,,CEAZA,"La Serena, Chile",11508
Christophe Kinnard,,CENTRO DE ESTUDIOS AVANZADOS EN ZONAS ARIDAS,"La Serena, Chile",11509
Romina Macarena Hernández Salinas,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11510
NILTON ALVES,Profesor Doutor,Universidad de la Frontera - UFRO,"Temuco, Chile",11511
César Eduardo Celis Contreras,,UNIVERSIDAD DE TALCA,"Talca, Chile",11512
Nora Del Carmen Silva Steffens,,"FACULTAD DE ODONTOLOGIA, UNIVERSIDAD DE CHILE","Santiago, Chile",11513
Loreto Andrea Abusleme Ramos,Assistant Professor,"FACULTAD DE ODONTOLOGÍA, UNIVERSIDAD DE CHILE","Santiago, Chile",11514
Paola Lorena Carvajal Pavez,Profesora Asistente,FACULTAD DE ODONTOLOGÍA UNIVERSIDAD DE CHILE,"Santiago, Chile",11515
Nicolas Raul Dutzan Muñoz,,"FACULTAD DE ODONTOLOGÍA, UNIVERSIDAD DE CHILE","Santiago, Chile",11516
Jaime Antonio Guerrero Contreras,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11517
Baldomero Estrada Turra,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",11518
Jorge Pablo Ferrer Meli,,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11519
Sascha Wallentowitz,Profesor Asociado,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11520
Patricia Eliana Castillo Gallardo,,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,"santiago, Chile",11521
Mayarí Castillo Gallardo,Directora del Doctorado en Políticas Públicas e Investigadora,Universidad Mayor de Chile,"Santiago, Chile",11522
Alejandra Gonzalez Celis,,UNIVERSIDAD ALBERTO HURTADO DEPTO TRABAJO SOCIAL,"santiago, Chile",11523
Macarena Barahona,,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,"santiago, Chile",11524
Olivier Fernand Marius Skurtys,,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA DEPARTAMENTO DE INGENIERÍA MECÁNICA,"Santiago, Chile",11525
Marcela Zamorano Riquelme,,UNIVRESIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11527
Antonio Iván Garcia Alvear,Académico,UNIVERSIDAD CATÓLICA DEL NORTE,"Antofagasta, Chile",11528
Christian Alejandro Goñi Alarcón,Professor,UNIVERSIDAD DE CONCEPCION,"Concepcion, Chile",11529
Bernardo Lara Berrios,,UNIVERSIDAD CENTRAL,"SANTIAGO, Chile",11530
Ariel Ignacio Cuevas Bustos,,ESTUDIO JURÍDICO CRUZ-COKE Y CÍA.,"Santiago, Chile",11531
Teresa De Jesus Diaz Santibañez,,UNIVERSIDAD CENTRAL,"Santiago, Chile",11532
Angela Paola Sierra Almeida,Profesor Asistente,UNIVERSIDAD DE CONCEPCIÓN,"CONCEPCIÓN, Chile",11533
Leonardo Ferres,,UNIVERSIDAD DE CONCEPCION,"Concepcion, Chile",11534
Esteban Montenegro,,MINISTERIO DE EDUCACION - DPTO. DE INFRAESTRUCTURA ESCOLAR,"Santiago, Chile",11535
Jakob Abermann,,CENTRO DE ESTUDIOS AVANZADOS DE ZONAS ÁRIDAS,"La Serena, Chile",11536
María Elvira Balcells Marty,Associate Professor,Pontificia Universidad Catolica de Chile,"Santiago, Chile",11537
Leon Eduardo Goity Vivar,Profesor Asistente,Universidad de Antofagasta,"Antofagasta, Chile",11538
Marisela Valdes Gonzalez,,UNIVERSIDAD CATOLICA DEL NORTE,"Antofagasta, Chile",11539
Jorge Alberto Alarcón Leiva,Associated Research,UNIVERSIDAD DE TALCA,"Talca, Chile",11540
Juan Antonio Ormeño Karzulovic,Profesor asociado,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11541
Hugo Renato Ochoa Disselkoen,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",11542
Enrique Javier Muñoz Mickle,,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN DE VALPARAÍSO,"Valparaíso, Chile",11543
Mauricio Ernesto Alarcón Alvarez,,PARTICULAR,"Concepcion, Chile",11544
Radu Saghin,Profesor Adjunto,Pontificia Universidad Católica de Valparaíso,"Valparaiso, Chile",11545
Alexies Alberto Dagnino Subiabre,Full Professor,UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",11546
Lorena Cifuentes Aguila,Académico,"PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE, ESCUELA DE MEDICINA, DIVISIÓN DE PEDIATRÍA","Santiago, Chile",11547
Sergio Silva Valenzuela,,UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11548
Liliana Isabel Bravo Pemjean,Directora,UNIVERSIDAD ALBERTO HURTADO,"Santiago, Chile",11549
Alejandro Oyarzún Droguett,,UNIVERSIDAD FINIS TERRAE,"Santiago, Chile",11550
Ana María Delpiano Barriga,,PONTIFICIA UNIVERSIDAD CATÓLICA,"Santiago, Chile",11551
Federico Schumacher Ratti,INVESTIGADOR ADJUNTO,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11552
Guido Lagos Garay,,UNIVERSIDAD ARCIS,"Santiago, Chile",11553
Juan Pablo Arancibia Carrizo,,UNIVERSIDAD ARCIS,"Santiago, Chile",11554
Jose Miguel Cardemil Iglesias,Profesor Asociado,Pontificia Universidad Católica de Chile,"Santiago, Chile",11556
Enrique Javier Muñoz Tavera,Professor,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11557
Daniel Andrés Palma Alvarado,Director de carrera,UNIVERSIDAD ALBERTO HURTADO,"Santiago, Chile",11558
Pía Lorena Gutiérrez Díaz,,PONTIFICIA UUNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11559
Alexandre Corgne,Associate Professor,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11560
Sergio Arturo Ruiz Tapia,Profesor Asociado,UNIVERSIDAD DE CHILE,"Santiago, Chile",11561
María Isabel Reyes Espejo,Secretaria Académica,Pontificia Universidad Católica de Valparaíso,"Viña del Mar, Chile",11562
Verónica del Rosario Paredes García,Academic,UNIVERSIDAD ANDRES BELLO,"Santiago, Chile",11564
Orlando Alfonso Mella Valenzuela,,UNIVERSIDAD CENTRAL,"Santiago, Chile",11566
Karen Moreno Fuentealba,Profesor Auxiliar,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11567
Marcelo Garcia Godoy,,"CENTRO DE TECNOLOGÍAS MINERAS, UNIVERSIDAD DE CHILE","Santiago, Chile",11568
Ana Verónica Mercado Seguel,,UNIVERSIDAD DE ANTOFAGASTA,"Antofagasta, Chile",11569
Carlos Guillermo Jara Senn,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11570
José J. Núñez Navarro,,INSTITUTO DE CIENCIAS MARINAS Y LIMNOLÓGICAS,"Valdivia, Chile",11571
Mauricio Ramiro Henriquez Schott,Profesor Auxiliar,UNIVERSIDAD AUSTRAL DE CHILE,"Puerto Montt, Chile",11572
Alfredo Sierra Herrero,Profesor Titular,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11573
Manuel Antonio Nuñez Poblete,Director,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",11574
Rafael Sebastian López Escarcena,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11575
Cristian Braulio Canales Aguirre,ASSOCIATE PROFESSOR,UNIVERSIDAD DE LOS LAGOS,"PUERTO MONTT|, Chile",11577
Nelson Mario Castro Flores,,UNIVERSIDAD VIÑA DEL MAR,"Viña del Mar, Chile",11578
Enrique Valdes Rubio,,"UNIDAD MEDICINA FETAL, HOSPITAL CLINICO UNIVERSIDAD DE CHILE","Santiago, Chile",11579
Gustavo Rencoret Palma,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11580
Dino Gonzalo Salinas Avilés,Acadadémico,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11581
Mauricio Orlando Gallardo Ruiz,Profesor,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11582
Manuel Isaías Osorio Soto,Docente,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11583
Alvaro Rodolfo Cuadra Rojas,,UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES   ARCIS,"SANTIAGO, Chile",11584
Tomás Zambrano Coloma,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11586
Jenny Dannela Lagos Gutiérrez,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11587
Cristian Ivor Castro Rodriguez,ACADÉMICO,UNIVERSIDAD DE TARAPACÁ,"Arica, Chile",11588
Ryan Mackenzie White Parsons,,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,"Valparaiso, Chile",11589
Rocío Rodríguez Ferrer,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11590
Valentina Haas Prieto,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"viña del mar, Chile",11591
Tatiana Catalina Vargas Pinto,,UNIVERSIDAD DE LOS ANDES,"Santiago, Chile",11592
Veronica Andrea Molina Trincado,,UNIVERSIDAD ANDRES BELLO,"Santiago, Chile",11593
Hector Arnaldo Gatica Rossi,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11594
EDUARDO JOEL QUIROGA JAMETT,Profesor Asociado,"ESCUELA DE CIENCIAS DEL MAR, P. UNIVERSIDAD CATÓLICA DE VALPARAÍSO","Valparaíso, Chile",11595
Miguel Angel Cornejo Améstica,,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11596
Carlos Alexis Matus Castillo,Profesor Asistente,Universidad Católica de la Santisima Concepción,"Concepción, Chile",11597
Yasmina Alejandra Contreras Soto,,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",11598
Ana Carolina Strappini Asteggiano,,UNIVERSIDAD AUSTRAL DE CHILE- INSTITUTO DE CIENCIA ANIMAL- FACULTAD DE CIENCIAS VETERINARIAS,"Valdivia, Chile",11599
Barbara Otto Lannefranque,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11600
Karen Ingeborg Pape Casale,,INSTITUTO DE ESTUDIOS URBANOS Y TERRITORIALES,"Santiago, Chile",11601
Alfredo José Rehren Bargetto,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11602
Eduardo Enrique Schott Verdugo,Profesor Asistente,Pontificia Universidad Católica de Chile,"Santiago, Chile",11603
Juan Eduardo Brunet Polanco,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAISO,"Valparaiso, Chile",11604
Domingo Alberto Román Montes de Oca,Investigador Asociado,Universidad de Santiago de Chile,"Santiago, Chile",11605
Camilo Ernesto Quezada Gaponov,Profesor Asistente,Universdidad de Chile ,"Santiago, Chile",11606
Sandro Villanova,Associate Profesor,"UNIVERSIDAD DE CONCEPCION, DEPTO DE ASTRONOMIA","Concepcion, Chile",11607
Douglas Paul Geisler,Full Professor,"UNIVERSIDAD DE CONCEPCION, DEPTO DE ASTRONOMIA","Concepcion, Chile",11608
Christian Moni Bidin,,UNIVERSIDAD DE CONCEPCION,"Concepcion, Chile",11609
Mauricio Alejandro Sepúlveda Galeas,,UNIVERSIDAD DE CHILE,"Santiago, Chile",11611
Ana Maria Yevenes Ramirez,,UNIVERSIDAD FINIS TERRAE,"Santiago, Chile",11613
Carlos Rodrigo Mera Moreno,researcher,NO,"Gorbea, Chile",11615
Doina Lilyan Munita Pavel,Visiting Professor,Universidad Católica de Temuco/Faculty of Natural Resources,"Temuco, Chile",11616
Luis Esteban Rosales Ahumada,Associate Professor ,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,"Santiago, Chile",11617
Felipe Osorio Salgado,Profesor Auxiliar,Universidad Técnica Federico Santa María,"Valparaiso, Chile",11618
Rolando Enrique Martinez Jorquera,Profesor Asociado,UNIVERSIDAD ANDRÉS BELLO,"Viña del Mar, Chile",11619
Basilio Alejandro Carrasco Gálvez,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11620
María Esther Gómez De Pedro,,UNIVERSIDAD SANTO TOMÁS,"Santiago, Chile",11621
Maribel Del Carmen Granada Azcárraga,,UNIVERSIDAD CATÓLICA DEL MAULE,"TALCA, Chile",11622
Maria Pilar Pomés Correa,Académica,UNIVERSIDAD CATOLICA DEL MAULE,"Talca, Chile",11623
Nancy Fabiola Lepe Martinez,"Académica, Secretaria de Facultad",UNIVERSIDAD CATÓLICA DEL MAULE,"Talca, Chile",11624
Francisco Javier Gil Llambías,,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11625
Mirza Victoria Villarroel Jorquera,,UNIVERSIDAD CATÓLICA CARDENAL RAÚL SILVA HENRÍQUEZ,"Santiago, Chile",11626
Marcelo Eduardo Vizcaino,,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11627
Raúl Arnaldo Fuentes Fuentes,,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",11628
Carlos Felipe Verdugo Campos,,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,"Concepción, Chile",11629
Mario Antonio Morales Navarro,DIRECTOR,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11630
Tito Rigoberto Larrondo González,,UNIVERSIDAD DE PLAYA ANCHA,"Valparaíso, Chile",11631
Claudia Carvajal Figueroa,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago de Chile, Chile",11632
Sergio Morán Velásquez,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"Santiago, Chile",11633
Bernardita Garayar Pulgar,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11634
Maria Cecilia Muñoz Contreras,,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,"SANTIAGO, Chile",11635
Daniela Andrea Geraldo Duran,,"DEPARTAMENTO DE CIENCIA QUIMICAS, FACULTAD DE CIENCIAS EXACTAS, UNIVERSIDAD ANDRES BELLO,","SANTIAGO, Chile",11636
Santos Gerardo Lazzeri,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11637
Carla Estefania Olivares Petit,,PUCV,"valparaiso, Chile",11638
Roxana Andrea Jara Campos,Profesora Auxiliar,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Valparaíso, Chile",11639
Alejandra Christen,PROFESSOR,Universidad de Valparaíso,"Valparaiso, Chile",11641
Veronica Motta Cifuentes,Profesor Titular,Universidad de Valparaiso,"Valparaíso, Chile",11642
Pablo Alejandro Ruiz Rudolph,Associate Professor,UNIVERSIDAD DE CHILE,"Santiago, Chile",11643
Horacio Enrique Torrent Schneider,Profesor Titular,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11644
Ximena Díaz Berr,,CENTRO DE ESTUDIOS DE LA MUJER,"Santiago, Chile",11645
Juan Pablo Toro Cifuentes,,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11646
Antonio Stecher,,UNIVERSIDAD DIEGO PORTALES,"santiago, Chile",11647
Lorena Paz Godoy Catalan,,CENTRO  DE ESTUDIOS DE LA MUJER,"Santiago, Chile",11648
MARIA ELISA ANSOLEAGA MORENO,RESEARCH DIRECTOR,Universidad Diego Portales,"SANTIAGO, Chile",11649
Amalia Rosa Mauro Cardarelli,,CENTRO DE ESTUDIOS DE LA MUJER,"Santiago, Chile",11650
Ana Maria Stuven Vattier,Full Professor UDP/PUC,UNIVERSIDAD DIEGO PORTALES,"santiago, Chile",11651
Vasco Rolando Castillo Rojas,,UNIVERSIDAD DIEGO PORTALES,"Santiago, Chile",11652
Claudio Silva Gallinato,,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,"Vaparaíso, Chile",11653
Marisa Von BÜlow,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11654
Marcelo Leonardo Lufin Varas,profesor,UNIVERSIDAD CATÓLICA DEL NORTE,"Antofagasta, Chile",11655
Roberto Andres Ried Luci,Sub Director,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Villarrica, Chile",11656
Maria Eugenia Piana Fissore,,UNIVERSIDAD DE CONCEPCION,"Concepción, Chile",11658
Ignacio Antonio Guerra Benavente,,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",11659
Guillermo Hugo Julio Alvear,,UNIVERSIDAD DE CHILE. FACULTAD DE CIENCIAS FORESTALES,"Santiago, Chile",11661
Sandra Del Pilar Garrido Osses,VICEDECANA FACULTAD DE EDUCACIÓN,UNIVERSIDAD CATÓLICA DE TEMUCO,"Temuco, Chile",11662
Roberto Aravire Flores,ACADEMICO,"UNIVERSIDAD ARTURO PRAT, DPTO. CS. FÍS. Y MATEMÁTICAS","Iquique, Chile",11663
Marie-Laure Guillemin,,UNIVERSIDAD AUSTRAL DE CHILE,"Valdivia, Chile",11664
Bernardo Javier Krause Leyton,Associate Professor,Universidad de O'Higgins,"Rancagua, Chile",11666
Lorena Liliana Valencia Galvez,DIRECTORA DEPARTAMENTO,UNIVERSIDAD TECNOLOGICA METROPOLITANA,"Santiago, Chile",11667
Bárbara Paz Jerez Henríquez,Docente colaboradora ,Universidad del Bío-Bío,"Concepción, Chile",11668
Carolyn Lilian Palma Toloza,,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,"SANTIAGO, Chile",11669
Ricardo Alberto Galleguillos González,Profesor Asociado,UNIVERSIDAD DE CONCEPCIÓN. FACULTAD DE CIENCIAS NATURALES Y OCEANOGRÁFICAS.DEPTO DE OCEANOGRAFÍA,"Concepción, Chile",11671
Alonso Azócar Avendaño,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",11672
Sergio Moises Gloger Kojchen,,PSICOMEDICA RESEARCH GROUP,"Santiago, Chile",11673
María Alejandra Voigt Prado,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11674
Thomas Weitzel,Head Travel Medicine Program,UNIVERSIDAD DEL DESARROLLO,"Santiago, Chile",11676
Marysol Alvear Zamora,,UNIVERSIDAD DE LA FRONTERA,"TEMUCO, Chile",11677
Alejandro Ramon Espinosa Sepulveda,Académico,UNIVERSIDAD DE LA FRONTERA,"TEMUCO, Chile",11678
Miguel Antonio Muñoz Asenjo,Docente part time,Universidad Tecnológica Metropolitana,"Santiago, Chile",11679
Luis Fernando Larrondo Castro,Associate Professor,Pontificia Universidad Catolica de Chile,"Santiago, Chile",11680
Graciela Monica Moguillansky Lavintman,,INSTITUTO DE SISTEMAS COMPLEJOS DE VALPARAISO,"Valparaíso, Chile",11681
Germán Patricio Morales Farías,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11683
Carmen Teresa Olivari Piña,,UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11684
Claudia Andrea Cerfogli Flores,Jefe Magister en Psicología Clínica,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11685
Francisco Javier Prado García,,"ESCUELA DE CONSTRUCCIÓN CIVIL UC, FACULTAD DE INGENIERÍA","Santiago, Chile",11686
raúl eduardo zarzuri cortés,PROFESOR,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,"Santiago, Chile",11687
Rodrigo Ivan Gangas Contreras,,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,"SANTIAGO, Chile",11688
juan domingo ramirez caceres,DOCENTE,UNIVERSIDAD AUSTRAL DE CHILE,"valdivia, Chile",11689
Jorge Osvaldo Fernández Ordenes,,INSTITUTO DE SALUD PÚBLICA DE CHILE,"Santiago, Chile",11690
pamela andrea araya rodriguez,JEFE DE SECCIÓN,INSTITUTO DE SALUD PUBLICA DE CHILE,"SANTIAGO, Chile",11691
Soledad Prat Miranda,,INSTITUTO DE SALUD PÚBLICA,"Santiago, Chile",11692
Andrés Scherman Teitelboim,Profesor e investigador,Universidad Adolfo Ibánez,"Santiago, Chile",11693
Carlos Manuel Willington,,ESCUELA DE GOBIERNO - UNIVERSIDAD ADOLFO IBÁÑEZ,"Santiago, Chile",11695
Álex Andrés Torres Peña,Analista,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",11696
José Leopoldo Vargas Baecheler,Profesor Asociado,UNIVERSIDAD DE CONCEPCIÓN,"Concepcion, Chile",11697
Gloria Loretto Arriagada Inostroza,Profesor Asociado-Investigador Principal,UNIVERSIDAD ANDRES BELLO,"Santiago, Chile",11698
Carlos Gonzalez Leon,,"CENTRO INTERDISCIPLINARIO DE NEUROCIENCIA DE VALPARAÍSO, UNIVERSIDAD DE VALPARAÍSO","Valparaíso, Chile",11699
Pablo César Muñoz Carvajal,,UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",11700
Ricardo Olivares Pérez-montt,,FACULTAD CIENCIAS VETERINARIAS Y PECUARIAS U. DE CHILE,"Santiago, Chile",11701
Wilson Muñoz Henríquez,Investigador doctoral,Collège de France/ EHESS/CNRS/PSL Research University,"Paris, Francia",11702
