Autor,Universidad,Correo,Intereses,Cant Citas
Rodrigo Salcedo,"Associate Professor of Sociology, Universidad Católica del Maule",Dirección de correo verificada de ucm.cl,urbaqn sociology urban theory consumption shopping malls gated communities ,Citado por 1655
Fernando Delgado Lopez,"Associate Professor, Universidad Catolica del Maule",Dirección de correo verificada de ucm.cl,Tumor Microenvironment Inflammation Adenovirus ,Citado por 1639
Jorge Valenzuela,"Facultad de Educación, Universidad Católica del Maule",Dirección de correo verificada de ucm.cl,Motivación Aprendizaje Pensamiento crítico Formación de profesores Motivation ,Citado por 1434
Eugenio Saavedra,Universidad Católica del Maule,Dirección de correo verificada de ucm.cl,Resiliencia Jóvenes Familia ,Citado por 1402
María Teresa Muñoz Quezada,Universidad Católica del Maule,Dirección de correo verificada de ucm.cl,Public health environmental exposure pesticides neurocognitive functioning disability and quality of life ,Citado por 1312
Danilo Díaz-Levicoy,Universidad Católica del Maule,Dirección de correo verificada de ucm.cl,Educación Estadística Statistics Education Educação Estatística ,Citado por 1109
Hugo A Benítez,Universidad Católica del Maule,Dirección de correo verificada de ucm.cl,Evolutionary Biology Ecology Entomology Morphometrics Geometric Morphometrics ,Citado por 1014
Sara Cuadros Orellana,"Full Professor, Universidad Católica del Maule",Dirección de correo verificada de ucm.cl,Microbial Genomics Microbial Ecology ,Citado por 984
José G. Fernández-Trincado,Universidad Católica del Norte (Chile),Dirección de correo verificada de ucn.cl,Astrophysics ,Citado por 7137
Alonso Vega Reyes,Programa de Doctorado Biologia y Ecologia Aplicada - Universidad Católica del Norte,Dirección de correo verificada de ucn.cl,Ecologia Conservación Evaluacion de Impacto Ambiental ,Citado por 6545
Alfonso Urzúa,"Escuela de Psicología, Universidad Católica del Norte",Dirección de correo verificada de ucn.cl,Psicología de la Salud Psicología Calidad de Vida Bienestar Inmigración ,Citado por 5969
Guillermo Chong,"Doctor en Geología, Universidad Católica del Norte",Dirección de correo verificada de ucn.cl,Geología ,Citado por 5244
Julio A Vásquez,"Prof. Titular Departamento de Biología Marina, Universidad Católica del Norte",Dirección de correo verificada de ucn.cl,ecología marina manejo conservación algas pardas ,Citado por 5064
Sarfaraz Hashemkhani Zolfani,"Assistant Professor, School of Engineering, Universidad Catolica del Norte",Dirección de correo verificada de ucn.cl,MCDM Strategic Management Technology Foresight Prospective MADM Sustainability ,Citado por 4447
Javier Sellanes,"Professor, Universidad Catolica del Norte",Dirección de correo verificada de ucn.cl,deep sea ecology invertebrate taxonomy chemosynthetic fauna ,Citado por 3308
Gabino Garrido,"Académico, Farmacognosia, Fitoterapia y Fitofarmacologia, Universidad Católica del Norte",Dirección de correo verificada de ucn.cl,pharmacology pharmacognosy toxicology phytotherapy natural products ,Citado por 3032
Wolfgang Stotz,Universidad Católica del Norte,Dirección de correo verificada de ucn.cl,ecologia marina pesquería artesanal ,Citado por 2954
Gabriel Gonzalez L.,Universidad Católica del Norte,Dirección de correo verificada de ucn.cl,Seismotectoinics structural geology paleoseismology ,Citado por 2908
